Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
OP090327,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-43-19-DENV3,Orthoflavivirus denguei,10667,partial,Myanmar,Homo sapiens,blood,2019-07
OP090328,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-51-19-DENV3,Orthoflavivirus denguei,10667,partial,Myanmar,Homo sapiens,blood,2019-07
OP090329,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-201-19-DENV3,Orthoflavivirus denguei,10675,partial,Myanmar,Homo sapiens,blood,2019-07
OP120947,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-3-19-DENV4,Orthoflavivirus denguei,10606,partial,Myanmar,Homo sapiens,blood,2019-07
OP120948,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-73-19-DENV4,Orthoflavivirus denguei,10606,partial,Myanmar,Homo sapiens,blood,2019-07
OP120949,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-106-19-DENV4,Orthoflavivirus denguei,10607,partial,Myanmar,Homo sapiens,blood,2019-07
OP121149,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-106-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121150,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-37-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121151,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-175-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121152,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-79-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
